n:1 m:1
n:2 m:2
n:3 m:3
n:4 m:4
n:5 m:3
n:6 m:5
n:7 m:5
n:8 m:5
n:9 m:6
n:10 m:6
n:11 m:9
n:12 m:10
n:13 m:8
n:14 m:8
n:15 m:8
n:16 m:11
n:17 m:12
n:18 m:11
n:19 m:12
n:20 m:11
n:21 m:16
n:22 m:11
n:23 m:13
n:24 m:15
n:25 m:15
n:26 m:16
n:27 m:16
n:28 m:17
n:29 m:16
n:30 m:12
n:31 m:20
n:32 m:18
n:33 m:21
n:34 m:20
n:35 m:19
n:36 m:17
n:37 m:23
n:38 m:23
n:39 m:26
n:40 m:25
n:41 m:22
n:42 m:21
n:43 m:27
n:44 m:26
n:45 m:31
n:46 m:24
n:47 m:24
n:48 m:26
n:49 m:23
n:50 m:25
n:51 m:33
n:52 m:27
n:53 m:31
n:54 m:27
n:55 m:34
n:56 m:31
n:57 m:33
n:58 m:33
n:59 m:32
n:60 m:31
n:61 m:35
n:62 m:35
n:63 m:30
n:64 m:38
n:65 m:38
n:66 m:36
n:67 m:34
n:68 m:43
n:69 m:39
n:70 m:44
n:71 m:38
n:72 m:39
n:73 m:42
n:74 m:40
n:75 m:40
n:76 m:46
n:77 m:46
n:78 m:45
n:79 m:44
n:80 m:48
n:81 m:45
n:82 m:45
n:83 m:50
n:84 m:47
n:85 m:48
n:86 m:49
n:87 m:50
n:88 m:49
n:89 m:48
n:90 m:55
n:91 m:54
n:92 m:54
n:93 m:54
n:94 m:48
n:95 m:58
n:96 m:50
n:97 m:59
n:98 m:56
n:99 m:57
n:100 m:60
