n:1 m:1
n:2 m:2
n:3 m:2
n:4 m:5
n:5 m:6
n:6 m:8
n:7 m:9
n:8 m:6
n:9 m:2
n:10 m:10
n:11 m:11
n:12 m:15
n:13 m:10
n:14 m:16
n:15 m:18
n:16 m:11
n:17 m:27
n:18 m:23
n:19 m:13
n:20 m:27
n:21 m:21
n:22 m:19
n:23 m:15
n:24 m:34
n:25 m:25
n:26 m:35
n:27 m:25
n:28 m:12
n:29 m:30
n:30 m:33
n:31 m:27
n:32 m:33
n:33 m:37
n:34 m:34
n:35 m:38
n:36 m:34
n:37 m:48
n:38 m:39
n:39 m:55
n:40 m:35
n:41 m:45
n:42 m:44
n:43 m:36
n:44 m:40
n:45 m:30
n:46 m:53
n:47 m:47
n:48 m:55
n:49 m:60
n:50 m:61
n:51 m:50
n:52 m:70
n:53 m:52
n:54 m:49
n:55 m:30
n:56 m:79
n:57 m:58
n:58 m:74
n:59 m:27
n:60 m:68
n:61 m:51
n:62 m:61
n:63 m:67
n:64 m:80
n:65 m:76
n:66 m:74
n:67 m:54
n:68 m:51
n:69 m:59
n:70 m:78
n:71 m:81
n:72 m:83
n:73 m:74
n:74 m:71
n:75 m:52
n:76 m:87
n:77 m:78
n:78 m:54
n:79 m:80
n:80 m:93
n:81 m:79
n:82 m:89
n:83 m:92
n:84 m:76
n:85 m:97
n:86 m:98
n:87 m:96
n:88 m:50
n:89 m:90
n:90 m:108
n:91 m:71
n:92 m:122
n:93 m:65
n:94 m:65
n:95 m:85
n:96 m:109
n:97 m:88
n:98 m:94
n:99 m:73
n:100 m:120
