n:1 m:1
n:2 m:3
n:3 m:7
n:4 m:7
n:5 m:5
n:6 m:14
n:7 m:9
n:8 m:8
n:9 m:7
n:10 m:11
n:11 m:16
n:12 m:8
n:13 m:14
n:14 m:12
n:15 m:19
n:16 m:16
n:17 m:20
n:18 m:19
n:19 m:15
n:20 m:13
n:21 m:13
n:22 m:13
n:23 m:18
n:24 m:13
n:25 m:17
n:26 m:18
n:27 m:11
n:28 m:18
n:29 m:22
n:30 m:13
n:31 m:20
n:32 m:12
n:33 m:13
n:34 m:21
n:35 m:21
n:36 m:16
n:37 m:24
n:38 m:18
n:39 m:25
n:40 m:21
n:41 m:19
n:42 m:21
n:43 m:21
n:44 m:24
n:45 m:24
n:46 m:20
n:47 m:16
n:48 m:24
n:49 m:19
n:50 m:17
n:51 m:22
n:52 m:21
n:53 m:24
n:54 m:18
n:55 m:18
n:56 m:19
n:57 m:25
n:58 m:22
n:59 m:20
n:60 m:24
n:61 m:19
n:62 m:19
n:63 m:22
n:64 m:21
n:65 m:26
n:66 m:17
n:67 m:24
n:68 m:16
n:69 m:16
n:70 m:13
n:71 m:18
n:72 m:28
n:73 m:22
n:74 m:22
n:75 m:24
n:76 m:22
n:77 m:23
n:78 m:25
n:79 m:20
n:80 m:22
n:81 m:15
n:82 m:24
n:83 m:26
n:84 m:19
n:85 m:28
n:86 m:24
n:87 m:27
n:88 m:31
n:89 m:30
n:90 m:26
n:91 m:24
n:92 m:24
n:93 m:23
n:94 m:21
n:95 m:20
n:96 m:19
n:97 m:27
n:98 m:31
n:99 m:27
n:100 m:29
